label,message
ham,Hello how are you
ham,Good morning
ham,See you tomorrow
ham,Meeting at 5 PM
ham,Happy birthday friend
ham,Call me when free
ham,How is your family
ham,Let's have lunch today

spam,You won lottery click here
spam,Claim your prize now
spam,Your account blocked verify now
spam,Free recharge click now
spam,Congratulations you won 50000 rupees
spam,Update KYC immediately
spam,Click here to receive reward
spam,Urgent action required verify account
label,message
ham,Hello how are you
ham,Good morning
ham,See you tomorrow
ham,Meeting at 5 PM
ham,Happy birthday friend
ham,Call me when free
ham,How is your family
ham,Let's have lunch today

spam,You won lottery click here
spam,Claim your prize now
spam,Your account blocked verify now
spam,Free recharge click now
spam,Congratulations you won 50000 rupees
spam,Update KYC immediately
spam,Click here to receive reward
spam,Urgent action required verify account
spam,Win cash now click here
spam,Claim your reward immediately
spam,Your KYC is expired update now
spam,Free recharge available
spam,Verify your bank account now
spam,Congratulations you won 100000 rupees
spam,Click here to receive gift
spam,Urgent action required
spam,Account suspended verify immediately
spam,Limited time offer click now
